date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:53	75273/75273	---MCZ	200	added ('OK')	text/html	etag:W/%224deb4a374692523fd9a44eca1cdfdb4a%22	https://www.gob.pe/institucion/mtpe/normas-legales/483080-011-2020-tr	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/mtpe/normas-legales/483080-011-2020-tr.html	(from https://www.gob.pe/coronavirus)
08:54:54	114212/114212	---MCZ	200	added ('OK')	text/html	etag:W/%222d35a09c07544e4300106cd89a1f5683%22	https://www.gob.pe/8998?colapsable_abierto=11	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8998d1ea.html	(from https://www.gob.pe/coronavirus)
08:54:54	75717/75717	---MCZ	200	added ('OK')	text/html	etag:W/%22a34a7107e6095ca6662c7c5d41d5b96f%22	https://www.gob.pe/institucion/minagri/informes-publicaciones/570059-protocolo-para-la-actividad-agricola-frente-al-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minagri/informes-publicaciones/570059-protocolo-para-la-actividad-agricola-frente-al-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:54	75646/75646	---MCZ	200	added ('OK')	text/html	etag:W/%229fb1c70d928d723799ca8c8aa42f4ee2%22	https://www.gob.pe/institucion/minagri/informes-publicaciones/570057-protocolo-para-la-actividad-ganadera-frente-al-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minagri/informes-publicaciones/570057-protocolo-para-la-actividad-ganadera-frente-al-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:55	114199/114199	---MCZ	200	added ('OK')	text/html	etag:W/%2269dcc986fd50ff48f518df65355d51eb%22	https://www.gob.pe/8998?colapsable_abierto=0	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/8998a5c5.html	(from https://www.gob.pe/coronavirus)
08:54:55	75738/75738	---MCZ	200	added ('OK')	text/html	etag:W/%225991b80383cd8cc8423046f5fcba0f24%22	https://www.gob.pe/institucion/minsa/informes-publicaciones/544221-guia-para-restaurantes-y-afines-con-modalidad-de-servicio-a-domicilio	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minsa/informes-publicaciones/544221-guia-para-restaurantes-y-afines-con-modalidad-de-servicio-a-domicilio.html	(from https://www.gob.pe/coronavirus)
08:54:55	74160/74160	---MCZ	200	added ('OK')	text/html	etag:W/%2208bba61524bf48214ecfe22e1fbf5e0f%22	https://www.gob.pe/institucion/produce/informes-publicaciones/563534-protocolo-de-restaurantes-y-afines-autorizados-para-entrega-a-domicilio-produce	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/produce/informes-publicaciones/563534-protocolo-de-restaurantes-y-afines-autorizados-para-entrega-a-domicilio-produce.html	(from https://www.gob.pe/coronavirus)
08:54:55	114199/114199	---MCZ	200	added ('OK')	text/html	etag:W/%22498f43d380132a93742be18b3416db0c%22	https://www.gob.pe/8998?colapsable_abierto=8	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/89984612.html	(from https://www.gob.pe/coronavirus)
08:54:56	74879/74879	---MCZ	200	added ('OK')	text/html	etag:W/%223189b062357f706e202e247b83c25aaf%22	https://www.gob.pe/institucion/minem/informes-publicaciones/541104-protocolo-para-el-traslado-de-personal-de-las-unidades-mineras-y-unidades-de-produccion-durante-la-epidemia-de-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/minem/informes-publicaciones/541104-protocolo-para-el-traslado-de-personal-de-las-unidades-mineras-y-unidades-de-produccion-durante-la-epidemia-de-covid-19.html	(from https://www.gob.pe/coronavirus)
08:54:56	83780/83780	---MCZ	200	added ('OK')	text/html	etag:W/%229b0392bd9cf6d29707326fc061c92f2e%22	https://www.gob.pe/institucion/osinergmin/informes-publicaciones/541164-protocolo-de-supervision-de-osinergmin-durante-el-estado-de-emergencia-nacional-por-covid-19	D:/Adnner/UPT/2020-I/SO%20I/Unidad%20III/pagina/www.gob.pe/institucion/osinergmin/informes-publicaciones/541164-protocolo-de-supervision-de-osinergmin-durante-el-estado-de-emergencia-nacional-por-covid-19.html	(from https://www.gob.pe/coronavirus)
